"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"alpha_a" 1.8350002366 0.00350580122823116 0.345734183560026 1.227209 1.5936 1.811525 2.05379 2.57200775 9725.45805437949 1.00009980784844
"alpha_b" 3.733562035 0.00389798518546458 0.623776336654523 2.56283 3.2981825 3.706345 4.14596 5.01274924999999 25608.1038617829 0.99994290576374
"alpha[1]" 0.2499453845 0.000584125481751604 0.0476250750458686 0.1643344 0.21639075 0.2475095 0.28064125 0.350336825 6647.51064763621 1.00036985556424
"alpha[2]" 0.2694185914 0.000630481689261761 0.0488318569207926 0.182180675 0.2352255 0.2665945 0.300467 0.37368725 5998.76049369072 1.00044744018919
"alpha[3]" 0.2699016909 0.000555231331329967 0.0474908545650836 0.184593275 0.23584325 0.267549 0.30113675 0.368100675 7315.97206971636 1.00028031909063
"alpha[4]" 0.3555412353 0.000743059910201124 0.0514328475649975 0.2607849 0.3196 0.353532 0.38929575 0.461967775 4791.08060702627 1.00044237972945
"alpha[5]" 0.37404857095 0.000744221962932263 0.0569754070469758 0.270299675 0.33431625 0.371741 0.41099575 0.4922058 5860.97553090015 1.00037111963376
"alpha[6]" 0.2933035651 0.000595269429607789 0.0468224364529211 0.21077695 0.260333 0.2903495 0.32279125 0.393553075 6187.01057636375 1.00052919304753
"alpha[7]" 0.29501387335 0.000539748074907459 0.03982221895952 0.22256195 0.267401 0.2931625 0.32061675 0.37761545 5443.3806841776 1.0002916354509
"alpha[8]" 0.28195738005 0.000692523202018783 0.0498107873583291 0.1932868 0.246736 0.279304 0.31283525 0.388321075 5173.42498927898 1.00042443665841
"alpha[9]" 0.19731394038 0.000505249466258137 0.0426881054338861 0.1170867 0.16819225 0.1957355 0.2247505 0.284620375 7138.41897331401 1.00099101790535
"alpha[10]" 0.30672194585 0.000645232013185426 0.0466503782741906 0.221419775 0.274262 0.3048145 0.33619575 0.404997275 5227.31324443957 1.0004252571123
"alpha[11]" 0.182673960775 0.000583680110147895 0.0441090946117943 0.10627805 0.15116525 0.179567 0.21058675 0.2797722 5710.9255485397 1.00014496704539
"alpha[12]" 0.519379978 0.000852150473076579 0.0691822014257448 0.392045775 0.4709155 0.516559 0.5652285 0.660837825 6591.07382407864 1.00007833062727
"alpha[13]" 0.184379863205 0.000569551617377972 0.0436886890078374 0.108737775 0.153576 0.1806825 0.21154425 0.280194675 5883.98892465638 1.00040957244396
"alpha[14]" 0.34192532535 0.0007777272355578 0.0544676293055454 0.2416368 0.30446475 0.3394685 0.3766685 0.45800175 4904.81160018389 1.00037175751466
"alpha[15]" 0.23859682734 0.000635812956441024 0.0464067247663668 0.1562079 0.20620325 0.2354395 0.2675365 0.338623425 5327.25014180779 1.00032634995966
"alpha[16]" 0.19838599973 0.000478160344660719 0.0387628371110701 0.1266317 0.1714435 0.196751 0.2238045 0.27880385 6571.79489509481 1.00017004680502
"alpha[17]" 0.31979560345 0.000568560880319808 0.0455257700367547 0.2382929 0.2877055 0.3173235 0.34938725 0.4157633 6411.51482653944 1.00037704254175
"alpha[18]" 0.25547658296 0.000615820934076738 0.0482919164594429 0.16944985 0.2213095 0.252982 0.28635125 0.3570761 6149.50253807328 1.00041149706232
"alpha[19]" 0.3502910292 0.000698410516443426 0.0545508012090315 0.2518126 0.31184475 0.3480305 0.38595275 0.464213575 6100.71485647831 1.00068512009739
"alpha[20]" 0.36184289235 0.000724734315871892 0.0559959470766913 0.260155625 0.3231045 0.3588865 0.39828825 0.478407475 5969.74166517327 1.00103175872697
"alpha[21]" 0.25426680705 0.000579167138773495 0.0467399980540342 0.16879895 0.22130375 0.252675 0.2847185 0.35187525 6512.82718982624 1.00039271646039
"alpha[22]" 0.33167412755 0.000616856028537401 0.04810521848058 0.244525825 0.297821 0.329781 0.3629015 0.4317454 6081.5846481203 1.00022573544654
"alpha[23]" 0.144535102412 0.000497277507912418 0.0426555005715958 0.06765177 0.11473525 0.1425095 0.17171725 0.2350513 7357.87580548319 1.00017003856805
"alpha[24]" 0.32977645815 0.000683647739874424 0.0522464680014647 0.234179375 0.293492 0.3273685 0.36341325 0.43689065 5840.48762288885 1.00034712421389
"alpha[25]" 0.3825890972 0.000673888393421127 0.0553950832611607 0.283580025 0.34366025 0.3798335 0.418024 0.499609275 6757.19552901858 1.00042993982497
"alpha[26]" 0.2738477394 0.000630285317841454 0.0488217121777697 0.18572635 0.2393395 0.2715295 0.305705 0.3756645 6000.00525764529 1.00053443966342
"alpha[27]" 0.36715465315 0.000674772292704379 0.0529805745041103 0.270512875 0.32936075 0.3649805 0.40251825 0.4780331 6164.79790157614 1.00001728310229
"alpha[28]" 0.25170162775 0.000585807427202995 0.047242131458478 0.168950725 0.21774775 0.2485725 0.28205575 0.352510075 6503.53108387406 1.00009922445048
"alpha[29]" 0.2963191454 0.000585050856002574 0.0487884359021915 0.208484225 0.26231075 0.293745 0.32798275 0.400447075 6954.19000628156 1.00038171673355
