"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"omega_a",1.34355171885,0.261697553501992,0.537418848015099,0.435602425,0.93949525,1.330935,1.7062175,2.44341975,4.21722198682083,1.35464420494231
"omega_b",0.9101790481,0.3277967137935,0.55256974821338,0.30903595,0.518874,0.7084945,1.1643125,2.322979,2.84161357379928,1.7801257647256
"omega[1]",0.662146859707691,0.198260232513845,0.345565364791409,0.0073599295,0.35548425,0.8235375,0.953829,0.999575025,3.03800995752996,1.65452544722518
"omega[2]",0.678716767429749,0.211258127674235,0.343095960008517,0.0079651645,0.3864435,0.8428555,0.9486555,0.999461025,2.63757219322097,1.954255391448
"omega[3]",0.669645693704771,0.210729946050388,0.369426082312686,0.00260514225,0.320164,0.873875,0.97556425,0.999808,3.07328330516892,1.63645089538668
"omega[4]",0.576938845705,0.0949986445002735,0.144796380966326,0.275923425,0.482624,0.6278975,0.67801525,0.764729624999999,2.32316789549384,2.54051759385019
"omega[5]",0.710697414028134,0.241742332739509,0.359844465073955,0.00675506025,0.5057035,0.8952775,0.96198025,0.99960115,2.21576774885866,3.05239753280993
"omega[6]",0.71747164064941,0.244114140947729,0.38208466438863,0.002475344,0.417236,0.944498,0.98769725,0.999914,2.4498152750708,2.24356701350986
"omega[7]",0.4243493792,0.0136656516398178,0.0342941408277269,0.355921975,0.4018615,0.4246955,0.44724725,0.49155965,6.29765931098204,1.19493044590498
"omega[8]",0.59980963837265,0.119769429462123,0.195263719525916,0.1766098,0.48141225,0.6531025,0.72915625,0.9039856,2.65797660559979,1.92642897560743
"omega[9]",0.420387459587873,0.00591334409432004,0.271624153950132,0.0139113925,0.18945975,0.3939275,0.62775775,0.96896425,2109.94177564771,1.00944650238967
"omega[10]",0.719990928393553,0.244915679957805,0.386996588489988,0.001340429,0.40581725,0.963422,0.9931255,0.999947,2.49678468898518,2.15759698208971
"omega[11]",0.626913865415173,0.177899339218625,0.322434280860534,0.0105860425,0.340506,0.736455,0.8977805,0.9986631,3.28498770690149,1.54949261178323
"omega[12]",0.732898551933688,0.267295182833839,0.398149174779064,0.00113030725,0.4334575,0.9710905,0.993755,0.999954025,2.21875513655245,3.03829496076326
"omega[13]",0.595054713281738,0.142641543767871,0.270073791787131,0.02746014,0.40563075,0.64931,0.79748475,0.993590125,3.58486514362215,1.46288098709178
"omega[14]",0.689476799531082,0.205867695796602,0.326669526357616,0.0152683675,0.478666,0.84036,0.93881225,0.99929005,2.51791368575445,2.12692389360891
"omega[15]",0.545386487134382,0.05773741044484,0.249041174784644,0.105829525,0.33813475,0.5406955,0.7493685,0.988317225,18.6049158235301,1.06624967589622
"omega[16]",0.36798559032849,0.0889528988439161,0.222075677387418,0.0849919825,0.2051865,0.286583,0.50448625,0.850105225,6.23277974004863,1.20720070178019
"omega[17]",0.727924604000067,0.2575760794587,0.397814631317747,0.000709597025,0.4104305,0.9787935,0.9960215,0.999975,2.38534085748594,2.38625225941277
"omega[18]",0.645587094002099,0.18181398885176,0.285003401643105,0.034933795,0.4487345,0.7429635,0.8507055,0.99401625,2.45722823570478,2.20728273393459
"omega[19]",0.669816923596795,0.174082067978181,0.28723236144074,0.050304525,0.4954365,0.780809,0.887239,0.996028025,2.72244216903898,1.88131305386743
"omega[20]",0.651142232630945,0.146598958246679,0.259706263570853,0.08640191,0.48315775,0.738438,0.8542435,0.985058925,3.13836231164326,1.62564340160959
"omega[21]",0.601467468404321,0.16257152417494,0.355433835844455,0.00628264825,0.243771,0.7150575,0.93948025,0.999504075,4.78000754476053,1.29210516519429
"omega[22]",0.530326661,0.0334259675037878,0.103547508675053,0.323092675,0.4611095,0.533551,0.60177025,0.724810525,9.59646614337827,1.12809904101576
"omega[23]",0.48248907008,0.0123998984868137,0.0900176289641341,0.3261376,0.4208035,0.4768195,0.5412545,0.662104025,52.7010028614731,1.02939729022753
"omega[24]",0.639569257809751,0.160975410093647,0.255421788768904,0.10962445,0.459233,0.7399975,0.818559,0.965044825,2.5176583985378,2.12088828276987
"omega[25]",0.713024272865643,0.231366861687553,0.368419665015445,0.003198288,0.4391425,0.9288025,0.98218625,0.999851,2.53561490013177,2.09686231571457
"omega[26]",0.59822645856185,0.125672899047885,0.193374829891411,0.1845094,0.4829905,0.6587205,0.7249315,0.870937999999999,2.36764519885095,2.41170249702112
"omega[27]",0.690768050906763,0.196193119734252,0.35252767640121,0.00339953375,0.40130525,0.88812,0.9828875,0.999868,3.22863455595493,1.58315188052439
