"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"omega_mean",0.500277304832942,0.00728745979731251,0.0754203587352747,0.350495813325371,0.449488371231507,0.50074654702057,0.551764760115309,0.648901314939604,107.108723563519,1.02702566636355
"omega_prec",0.639904732511738,0.00241655032708601,0.14595403940303,0.391107095551736,0.535404569700393,0.62815721541604,0.730934099694879,0.954483116388676,3647.88005149167,1.00022160450439
"omega[1]",0.500633798989358,0.0652716576599,0.0947953504012522,0.378054825829331,0.404823923397692,0.509681370391969,0.595284739495725,0.622973060588397,2.10923411882692,4.19302936065633
"omega[2]",0.502204112944681,0.0641703356801619,0.121602181418452,0.290947315811364,0.398646030959886,0.504054716842423,0.605619521161264,0.711771265826062,3.59098928583314,1.46807399481467
"omega[3]",0.306675269034768,0.236755664813979,0.336380237751548,0.05533790589219,0.0959158250830346,0.127404533160139,0.392426633181823,0.932012419854585,2.01864610532535,9.97015355071943
"omega[4]",0.492842775447604,0.0110267938831841,0.445416408202588,3.25962150211634e-06,0.0123620258277281,0.449148857914907,0.98485241793775,0.999996643254543,1631.67593997036,1.00696084900774
"omega[5]",0.501491175335468,0.00485234595323884,0.306224352957846,0.000170252287104486,0.274916753081705,0.500778016593097,0.728847349747119,0.999816983427743,3982.68481071947,1.00383225829244
"omega[6]",0.500061706375487,0.264859596843584,0.37477414812728,0.109866589320036,0.123103763286587,0.498222346642562,0.876559803267507,0.890008258541827,2.00220169194474,32.4124341771656
"omega[7]",0.883794183358582,0.000298785626420881,0.02264964344118,0.837596944603029,0.868673992786309,0.884476944729557,0.899685405201856,0.926528985284086,5746.49901755297,1.0003200245812
"omega[8]",0.377032362209495,0.152577629922,0.221196358905974,0.196658062533184,0.224221018331784,0.252234290852911,0.537445486761605,0.792674583520633,2.10171691097682,4.34584987390575
"omega[9]",0.504116207652968,0.0213216811303004,0.178881954897498,0.160533988285387,0.368616963028614,0.502685582366331,0.643323048969601,0.83529045389766,70.3866306780252,1.06142037026294
"omega[10]",0.530982973794295,0.00962977576929511,0.416345702095968,1.96799021916133e-05,0.0494649447801205,0.596799420034291,0.979787113307033,0.999993841060118,1869.28629720699,1.0106353608176
"omega[11]",0.505157227970178,0.0114520430135733,0.352960307769244,2.41111875399769e-05,0.176557726690132,0.504434436051032,0.849200444471307,0.999979690337656,949.917301382231,1.01228608091889
"omega[12]",0.509633943740917,0.00887766600573536,0.337233572358163,8.70940354443073e-05,0.210106129813561,0.53543884935444,0.801796786227911,0.999929807885094,1442.99226171369,1.00867682563362
"omega[13]",0.482881831217455,0.0100406388699495,0.250029987094839,0.122887234841882,0.24144530479544,0.4772183431154,0.718420943447217,0.870684468531962,620.099673413558,1.01324926567855
"omega[14]",0.56252818185321,0.075631222153049,0.111198053877287,0.352169133598843,0.492146296650411,0.625796927385904,0.640852656511384,0.654106522109404,2.16168364290352,3.51757885182928
"omega[15]",0.500368118486858,0.000749384289141522,0.033639384392466,0.415019670628893,0.482597860731553,0.506167322160864,0.522211875821354,0.547623883099327,2015.05503163042,1.0095390144472
"omega[16]",0.498338807342225,0.223716317186926,0.318266182067865,0.142340316779095,0.176429986591483,0.421662359669777,0.822278101356614,0.858247098387386,2.02388422789237,8.82525045609997
"omega[17]",0.504136705943344,0.00875136534808521,0.295258894599438,0.00178387847440473,0.251101615107711,0.501509525682578,0.752873141195459,0.999302621200462,1138.29374422702,1.00676315865716
"omega[18]",0.484133856548877,0.0198755759248177,0.0405123997519877,0.410085457543416,0.455923977337155,0.481865863236555,0.510503566581337,0.56981795547818,4.15466962702353,1.36282501262673
"omega[19]",0.482217820611108,0.00828477835084723,0.351357716583088,0.00015535289910486,0.138555883965414,0.45785114743374,0.825081809689403,0.999696899516643,1798.61083073198,1.01074832683284
"omega[20]",0.499893492152176,0.293831702968901,0.415644761082258,0.0729955420084063,0.0841632485982356,0.497457498042703,0.915773883927193,0.927295592529812,2.00100105408081,59.4838426784298
"omega[21]",0.49871575569631,0.0251999602090335,0.474839670077894,3.08166455662007e-07,0.00167764848388954,0.48707198307997,0.998515758176483,0.999999818591373,355.053893183381,1.0233271573957
"omega[22]",0.484649869410815,0.0879150905045262,0.461259451699701,1.54983413130916e-06,0.00676044468173462,0.375198733315876,0.991076744272801,0.999998054499456,27.5273054407767,1.06151481407897
"omega[23]",0.502692068766944,0.040469974238994,0.176777307883767,0.18090845347821,0.379847723308166,0.505403702344726,0.625652419764271,0.824925554616,19.0803868524662,1.08076176199468
"omega[24]",0.500354482999472,0.0279317819363242,0.0472563032207877,0.437483306317724,0.451716930482426,0.500477274920908,0.549096698705403,0.562812209334718,2.86234648306274,1.77411692525743
"omega[25]",0.499361700732978,0.21934666524042,0.311517682420894,0.147553609165702,0.185614236375912,0.43803122143675,0.813790362511444,0.852454027049961,2.01698809144788,10.454945261427
"omega[26]",0.501803144145652,0.00746022998088046,0.407386002764678,1.38461434962017e-05,0.0519959703493383,0.512698379042906,0.94482740311566,0.999981546826869,2982.00092912204,1.00202944720227
"omega[27]",0.495409457483644,0.0454607160492891,0.385538970932951,1.90935294482442e-05,0.0851688531582132,0.496190881112788,0.90915526211556,0.999969001002159,71.922375590199,1.03398099402901
"omega[28]",0.490827611417229,0.0675926193762249,0.443973670857188,5.90492258960574e-06,0.01699523073176,0.439680990200036,0.980285671750704,0.999995208674017,43.1435500554751,1.04631330314931
"omega[29]",0.497136785937339,0.00816482430982087,0.368070357870822,6.40905224064293e-05,0.128301329604349,0.501684093368601,0.85644153017399,0.999910078802011,2032.20726113879,1.00460946802027
"omega[30]",0.499668752196118,0.0218152636901406,0.0794533059813144,0.342488984761395,0.445854560551629,0.498633851267468,0.552579703394747,0.656616805323561,13.2648704042288,1.08899850575791
"omega[31]",0.353327263833094,0.182315549723488,0.262792030532992,0.144930119458406,0.176098217237144,0.209268539773734,0.560044828625915,0.844866452493128,2.07767186444021,4.92552672607121
"omega[32]",0.677378005359216,0.215239798486569,0.308569526832937,0.101048256289084,0.629361019530342,0.844866978971631,0.871160970445534,0.911513129875517,2.05523229468675,5.77415202851415
"omega[33]",0.498524056408082,0.00415401800080463,0.0822436634168159,0.298665898932433,0.458115989607406,0.500593749546735,0.54157134394544,0.671136466807216,391.983824411695,1.01526614771348
"omega[34]",0.485983025578241,0.0102035491047598,0.409872126944013,2.22808296066274e-05,0.0622526639312523,0.437101974280093,0.923844883221212,0.999950034363053,1613.59393614567,1.00633588764867
"omega[35]",0.488352876686502,0.0142080799474959,0.396952452767402,1.68827347919787e-05,0.0628491632742672,0.448695585663915,0.931886981894908,0.999981346736578,780.559826117164,1.01384810388564
"omega[36]",0.482449187040037,0.0102670838853209,0.414464188229247,4.17399877426783e-06,0.0291279673753943,0.446939534343851,0.95300292333705,0.99998623214336,1629.59544430755,1.00227961313165
"omega[37]",0.491895507555895,0.0105831251219475,0.432892972265433,2.29450529765085e-06,0.0113869400935352,0.466358002477096,0.985184793922204,0.999998570037371,1673.14357224392,1.01021383639683
"beta_shape",0.343089988215301,0.0539666222293518,0.11873908125175,0.161301433086912,0.253273044058991,0.329798555092571,0.413793685255913,0.607480507775135,4.84102020890561,1.30180736975992
"beta_scale",0.498050539372185,0.165108379460509,0.376947384058737,0.105922428718817,0.231309422928335,0.382846333458799,0.645850713551477,1.51853068705337,5.21222599470012,1.26886003299221
"beta[1]",0.0170989945603064,0.0120474036096508,0.0172984983327108,1.15279363805405e-09,3.11739004182351e-05,0.0112198769123444,0.0337593135050114,0.0422312793075922,2.06172096726715,5.48025950133083
"beta[2]",0.0586509307781792,0.0372008217166575,0.0588843339501718,0.00198402043093189,0.00794146988446338,0.016175762673564,0.108759405634444,0.178137915231592,2.50550035227866,2.1428335378217
"beta[3]",0.17035855097294,0.118549931902824,0.171202281237566,0.0482844046691226,0.0682766173536413,0.079523652461891,0.186968434122716,0.558010594436737,2.08553016982581,4.7489292093214
"beta[4]",0.0966711905832202,0.00936135879467118,0.360438870119881,6.79674289436953e-06,0.00473577286299518,0.00562923013437912,0.0109171013196721,1.03767362347134,1482.46844347697,1.01101857145774
"beta[5]",0.0648242892298586,0.00334111899768388,0.226479116617264,7.5690705096859e-07,0.00315686952821595,0.00897298019722454,0.0333543476134086,0.590878163063871,4594.86162629319,1.00572311728112
"beta[6]",0.0446117603864886,0.0308794579966376,0.0440162178723098,1.12474206727998e-08,0.000273720290336427,0.0369436380343953,0.0874675623916787,0.103550656478397,2.03182410174301,7.59988198508134
"beta[7]",0.487096839396323,0.000617245851164533,0.0462220638939834,0.414353531723779,0.454119659142735,0.481021508887291,0.513093049373608,0.594900433962172,5607.66818954848,1.00228020551856
"beta[8]",0.0136783638059925,0.0145370868778114,0.020841865873212,4.41858860378222e-08,0.000186999838112109,0.00187408146558422,0.0201820647683668,0.0567977373606489,2.05550445103935,5.86486153753913
"beta[9]",0.0478991761582186,0.00793214648385651,0.115315049118514,1.94459070208832e-06,0.00224559274042522,0.00386823350342227,0.0485966338630159,0.312747634799565,211.344293085344,1.0153949726104
"beta[10]",0.26756476672588,0.011186726497998,0.313231741629116,0.00034777187833447,0.134148415239436,0.257925039512891,0.315091663947377,0.86970871814716,784.01701868753,1.01176572551902
"beta[11]",0.150150439508207,0.0100425243868226,0.307722310472399,0.000764705180468394,0.0413212055970448,0.0516759577157583,0.182734237698658,0.738999385888686,938.927759326414,1.01597765773209
"beta[12]",0.282627544975119,0.0908248188713547,0.438979945509662,0.00192511264335783,0.0250940173301204,0.0282802333782754,0.488619694168293,1.39974506650072,23.3604002534759,1.08458693678648
"beta[13]",0.0207300259757805,0.00498266410425975,0.0408125640308481,4.07763407075578e-06,0.00581024012871412,0.0125663231429981,0.0265667218582585,0.0741950322326302,67.0910421117036,1.04092974346197
"beta[14]",0.0314117012265461,0.0126590138244947,0.0182560049518227,2.05042049900083e-06,0.0229086679719953,0.0396654424289039,0.0427976280857237,0.0513613896097807,2.0797529139388,4.87769908147852
